question,incorrect_0,incorrect_1,incorrect_2,incorrect_3,correct_0,correct_1,correct_2
"You are working at a sports association whose members range in age from 8 to 30. The association collects a large amount of health data, such as sustained injuries. You are storing this data in BigQuery. Current legislation requires you to delete such information upon request of the subject. You want to design a solution that can accommodate such a request. What should you do?
","When ingesting new data in BigQuery, run the data through the Data Loss Prevention (DLP) API to identify any personal information. As part of the DLP scan, save the result to Data Catalog. Upon a deletion request, query Data Catalog to find the column with personal information.","Create a BigQuery view over the table that contains all data. Upon a deletion request, exclude the rows that affect the subject's data from this view. Use this view instead of the source table for all analysis tasks.","Use a unique identifier for each individual. Upon a deletion request, overwrite the column with the unique identifier with a salted SHA256 of its value.",,"Use a unique identifier for each individual. Upon a deletion request, delete all rows from BigQuery with this identifier.",,
"What are two of the actions you can take to troubleshoot a virtual machine instance that won't start up at all? (Select 2 answers.)
",Increase the CPU and memory on the instance by changing the machine type.,Connect to your virtual machine instance using SSH.,,,Validate that your disk has a valid file system.,Examine your virtual machine instance's serial port output.,
"Mountkirk Games wants you to design their new testing strategy. How should the test coverage differ from their existing backends on the other platforms?
","Unit tests are no longer required, only end-to-end tests",Tests should be applied after the release is in the production environment,Tests should include directly testing the Google Cloud Platform (GCP) infrastructure,,Tests should scale well beyond the prior approaches,,
"You have an application deployed on Google Kubernetes Engine using a Deployment named echo-deployment. The deployment is exposed using a Service called echo-service. You need to perform an update to the application with minimal downtime to the application. What should you do?
",Use the rolling update functionality of the Instance Group behind the Kubernetes cluster,"Update the deployment yaml file with the new container image. Use kubectl delete deployment/echo-deployment and kubectl create ג€""f <yaml-file>","Update the service yaml file which the new container image. Use kubectl delete service/echo-service and kubectl create ג€""f <yaml-file>",,Use kubectl set image deployment/echo-deployment <new-image>,,
"You need to ensure reliability for your application and operations by supporting reliable task scheduling for compute on GCP. Leveraging Google best practices, what should you do?
","Using the Cron service provided by App Engine, publish messages directly to a message-processing utility service running on Compute Engine instances.","Using the Cron service provided by Google Kubernetes Engine (GKE), publish messages directly to a message-processing utility service running on Compute Engine instances.","Using the Cron service provided by GKE, publish messages to a Cloud Pub/Sub topic. Subscribe to that topic using a message-processing utility service running on Compute Engine instances.",,"Using the Cron service provided by App Engine, publish messages to a Cloud Pub/Sub topic. Subscribe to that topic using a message-processing utility service running on Compute Engine instances.",,
"For this question, refer to the TerramEarth case study. You are building a microservice-based application for TerramEarth. The application is based on Docker containers. You want to follow Google-recommended practices to build the application continuously and store the build artifacts. What should you do?
","Configure a trigger in Cloud Build for new source changes. The trigger invokes build jobs and build container images for the microservices. Tag the images with a version number, and push them to Cloud Storage.","Create a Scheduler job to check the repo every minute. For any new change, invoke Cloud Build to build container images for the microservices. Tag the images using the current timestamp, and push them to the Container Registry.","Configure a trigger in Cloud Build for new source changes. Invoke Cloud Build to build one container image, and tag the image with the label 'latest.' Push the image to the Container Registry.",,"Configure a trigger in Cloud Build for new source changes. Invoke Cloud Build to build container images for each microservice, and tag them using the code commit hash. Push the images to the Container Registry.",,
"Your company is developing a web-based application. You need to make sure that production deployments are linked to source code commits and are fully auditable. What should you do?
",Make sure a developer is tagging the code commit with the date and time of commit.,Make sure a developer is adding a comment to the commit that links to the deployment.,Make sure the developer is tagging the commits with latest.,,Make the container tag match the source code commit hash.,,
"An application development team has come to you for advice. They are planning to write and deploy an HTTP(S) API using Go 1.12. The API will have a very unpredictable workload and must remain reliable during peaks in traffic. They want to minimize operational overhead for this application. Which approach should you recommend?
","Develop the application with containers, and deploy to Google Kubernetes Engine.",Use a Managed Instance Group when deploying to Compute Engine.,"Develop the application for App Engine flexible environment, using a custom runtime.",,Develop the application for App Engine standard environment.,,
"Your company has an application running on App Engine that allows users to upload music files and share them with other people. You want to allow users to upload files directly into Cloud Storage from their browser session. The payload should not be passed through the backend. What should you do?
","1. Set a CORS configuration in the target Cloud Storage bucket where the base URL of the App Engine application is an allowed origin.
2. Assign the Cloud Storage WRITER role to users who upload files.","1. Use the Cloud Storage Signed URL feature to generate a POST URL.
2. Use App Engine default credentials to sign requests against Cloud Storage.","1. Assign the Cloud Storage WRITER role to users who upload files.
2. Use App Engine default credentials to sign requests against Cloud Storage.",,"1. Set a CORS configuration in the target Cloud Storage bucket where the base URL of the App Engine application is an allowed origin.
2. Use the Cloud Storage Signed URL feature to generate a POST URL.",,
"You are developing your microservices application on Google Kubernetes Engine. During testing, you want to validate the behavior of your application in case a specific microservice should suddenly crash. What should you do?
","Add a taint to one of the nodes of the Kubernetes cluster. For the specific microservice, configure a pod anti-affinity label that has the name of the tainted node as a value.",Destroy one of the nodes of the Kubernetes cluster to observe the behavior.,Configure Istio's traffic management features to steer the traffic away from a crashing microservice.,,Use Istio's fault injection on the particular microservice whose faulty behavior you want to simulate.,,
"Your company recently acquired a company that has infrastructure in Google Cloud. Each company has its own Google Cloud organization. Each company is using a Shared Virtual Private Cloud (VPC) to provide network connectivity for its applications. Some of the subnets used by both companies overlap. In order for both businesses to integrate, the applications need to have private network connectivity. These applications are not on overlapping subnets. You want to provide connectivity with minimal re-engineering. What should you do?
",Set up VPC peering and peer each Shared VPC together.,Migrate the projects from the acquired company into your company's Google Cloud organization. Re-launch the instances in your companies Shared VPC.,Configure SSH port forwarding on each application to provide connectivity between applications in the different Shared VPCs.,,Set up a Cloud VPN gateway in each Shared VPC and peer Cloud VPNs.,,
"Your company has a Google Cloud project that uses BigQuery for data warehousing. They have a VPN tunnel between the on-premises environment and Google Cloud that is configured with Cloud VPN. The security team wants to avoid data exfiltration by malicious insiders, compromised code, and accidental oversharing.
What should they do?
",Configure Private Google Access for on-premises only.,Perform the following tasks: 1. Create a service account. 2. Give the BigQuery JobUser role and Storage Reader role to the service account. 3. Remove all other IAM access from the project.,Configure Private Google Access.,,Configure VPC Service Controls and configure Private Google Access.,,
"Your company is planning to migrate their Windows Server 2022 from their on-premises data center to Google Cloud. You need to bring the licenses that are currently in use in on-premises virtual machines into the target cloud environment. What should you do?
","1. Create an image of the on-premises virtual machines and upload into Cloud Storage.
2. Import the image as a virtual disk on Compute Engine.","1. Create standard instances on Compute Engine.
2. Select as the OS the same Microsoft Windows version that is currently in use in the on-premises environment.","1. Create an image of the on-premises virtual machine.
2. Import the image as a virtual disk on Compute Engine.
3. Create a standard instance on Compute Engine, selecting as the OS the same Microsoft Windows version that is currently in use in the on-premises environment.
4. Attach a data disk that includes data that matches the created image.",,"1. Create an image of the on-premises virtual machines.
2. Import the image as a virtual disk on Compute Engine using --os=windows-2022-dc-v.
3. Create a sole-tenancy instance on Compute Engine that uses the imported disk as a boot disk.",,
"Mountkirk Games wants to set up a continuous delivery pipeline. Their architecture includes many small services that they want to be able to update and roll back quickly. Mountkirk Games has the following requirements:
✑ Services are deployed redundantly across multiple regions in the US and Europe
✑ Only frontend services are exposed on the public internet
✑ They can provide a single frontend IP for their fleet of services
✑ Deployment artifacts are immutable
Which set of products should they use?
","Google Cloud Storage, Google Cloud Dataflow, Google Compute Engine","Google Cloud Storage, Google App Engine, Google Network Load Balancer","Google Cloud Functions, Google Cloud Pub/Sub, Google Cloud Deployment Manager",,"Google Kubernetes Registry, Google Container Engine, Google HTTP(S) Load Balancer",,
"For this question, refer to the TerramEarth case study. You have broken down a legacy monolithic application into a few containerized RESTful microservices.
You want to run those microservices on Cloud Run. You also want to make sure the services are highly available with low latency to your customers. What should you do?
",Deploy Cloud Run services to multiple availability zones. Create Cloud Endpoints that point to the services. Create a global HTTP(S) Load Balancing instance and attach the Cloud Endpoints to its backend.,"Deploy Cloud Run services to multiple regions. In Cloud DNS, create a latency-based DNS name that points to the services.",Deploy Cloud Run services to multiple availability zones. Create a TCP/IP global load balancer. Add the Cloud Run Endpoints to its backend service.,,Deploy Cloud Run services to multiple regions. Create serverless network endpoint groups pointing to the services. Add the serverless NEGs to a backend service that is used by a global HTTP(S) Load Balancing instance.,,
"Your company's test suite is a custom C++ application that runs tests throughout each day on Linux virtual machines. The full test suite takes several hours to complete, running on a limited number of on-premises servers reserved for testing. Your company wants to move the testing infrastructure to the cloud, to reduce the amount of time it takes to fully test a change to the system, while changing the tests as little as possible.
Which cloud infrastructure should you recommend?
",Google Compute Engine unmanaged instance groups and Network Load Balancer,Google Cloud Dataproc to run Apache Hadoop jobs to process each test,Google App Engine with Google StackDriver for logging,,Google Compute Engine managed instance groups with auto-scaling,,
